Price;Host ID;Host Response Rate;Host Total Listings Count;Neighbourhood Cleansed;Neighbourhood Group Cleansed;Smart Location;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 30;Availability 60;Availability 90;Availability 365;Number of Reviews;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Location;Review Scores Value;Cancellation Policy;Calculated host listings count
90.0;9350704;100.0;1.0;Ibiza;Retiro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;1;0;2;1125;2;2;4;279;14;9.0;9.0;10.0;9.0;flexible;1.0
50.0;10290231;95.0;4.0;Aluche;Latina;Madrid, Spain;Apartment;Entire home/apt;5;2.0;3.0;3.0;Real Bed;1;0;5;1125;8;17;36;95;0;;;;;moderate;2.0
72.0;5967358;100.0;1.0;Acacias;Arganzuela;Madrid, Spain;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;1;0;2;1125;1;2;4;7;28;10.0;10.0;10.0;10.0;moderate;1.0
55.0;10347012;100.0;1.0;Delicias;Arganzuela;Delicias-Madrid, Spain;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;2;20;3;1125;10;26;44;154;137;10.0;10.0;9.0;10.0;moderate;1.0
77.0;24936899;100.0;0.0;Cortes;Centro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;1;0;7;1125;0;6;27;236;2;10.0;10.0;10.0;10.0;flexible;1.0
28.0;2646146;100.0;8.0;Lista;Salamanca;Madrid, Spain;Apartment;Private room;1;2.0;1.0;1.0;Real Bed;1;0;1;1125;2;5;20;286;9;8.0;9.0;9.0;8.0;moderate;8.0
115.0;1091014;100.0;6.0;Embajadores;Centro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;2;0;3;365;11;34;61;336;7;9.0;9.0;10.0;8.0;strict;6.0
18.0;35468631;100.0;15.0;Guindalera;Salamanca;Madrid, Spain;Apartment;Private room;2;1.0;1.0;2.0;Real Bed;1;18;1;1125;0;25;52;327;25;9.0;8.0;9.0;9.0;strict;14.0
95.0;24360738;100.0;1.0;Palacio;Centro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;2;10;2;1125;0;10;19;116;14;10.0;10.0;10.0;10.0;strict;1.0
28.0;15898153;86.0;1.0;Embajadores;Centro;Madrid, Spain;Bed & Breakfast;Private room;2;1.0;1.0;1.0;Real Bed;1;10;2;30;3;23;53;53;33;9.0;9.0;10.0;9.0;strict;1.0
40.0;121172372;57.0;1.0;Vista Alegre;Carabanchel;Madrid, Spain;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;1;25;2;15;16;36;61;336;0;;;;;flexible;1.0
40.0;9231691;50.0;0.0;El Plantío;Moncloa - Aravaca;Madrid, Spain;House;Private room;2;1.0;1.0;1.0;Real Bed;1;0;1;1125;30;60;90;365;0;;;;;flexible;1.0
19.0;40381288;100.0;2.0;Opañel;Carabanchel;Madrid, Spain;Apartment;Private room;3;1.0;1.0;2.0;Real Bed;1;12;1;1125;30;58;88;363;8;10.0;10.0;9.0;9.0;flexible;2.0
71.0;69489851;100.0;2.0;Almagro;Chamberí;Madrid, Spain;Apartment;Entire home/apt;6;1.0;2.0;3.0;Real Bed;4;10;7;60;0;5;12;43;0;;;;;moderate;1.0
65.0;353616;100.0;3.0;Universidad;Centro;Madrid, Spain;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;2;5;4;365;0;1;21;111;14;9.0;9.0;9.0;9.0;moderate;3.0
199.0;512670;100.0;2.0;Dublin City;;Dublin, Ireland;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;1;0;2;1125;28;58;88;363;3;8.0;9.0;7.0;9.0;moderate;2.0
59.0;99868881;100.0;1.0;Gaztambide;Chamberí;Madrid, Spain;Other;Entire home/apt;4;1.0;1.0;1.0;Real Bed;2;10;2;1125;7;9;39;39;17;10.0;10.0;9.0;10.0;moderate;1.0
70.0;60088973;100.0;7.0;Embajadores;Centro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;1.0;1.0;Pull-out Sofa;2;15;3;1125;6;24;46;258;14;10.0;9.0;10.0;10.0;moderate;7.0
60.0;22614485;;1.0;Casa de Campo;Moncloa - Aravaca;Madrid, Spain;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;1;0;1;1125;0;0;0;0;1;10.0;10.0;10.0;10.0;flexible;1.0
140.0;28038703;100.0;40.0;Goya;Salamanca;Madrid, Spain;Apartment;Entire home/apt;4;2.0;2.0;3.0;Real Bed;1;0;4;1125;1;7;37;306;10;10.0;10.0;10.0;9.0;strict;37.0
33.0;112924752;100.0;1.0;Embajadores;Centro;Madrid, Spain;House;Private room;2;1.0;1.0;1.0;Real Bed;1;0;2;1125;10;23;41;128;4;10.0;9.0;10.0;9.0;flexible;1.0
60.0;2696558;100.0;6.0;Sol;Centro;Madrid, Spain;Bed & Breakfast;Private room;2;1.0;1.0;2.0;Real Bed;1;0;2;180;6;28;53;328;27;10.0;10.0;10.0;10.0;strict;4.0
19.0;27611473;100.0;5.0;Universidad;Centro;Madrid, Spain;Apartment;Shared room;4;1.0;1.0;4.0;Real Bed;1;19;1;1125;23;53;83;358;24;9.0;10.0;10.0;9.0;strict;5.0
50.0;24903099;100.0;1.0;Castillejos;Tetuán;Madrid, Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;1;0;2;14;16;43;73;348;60;10.0;10.0;9.0;10.0;flexible;1.0
160.0;105994855;100.0;1.0;Embajadores;Centro;Madrid, Spain;Apartment;Entire home/apt;7;2.0;3.0;5.0;Real Bed;1;0;3;1125;4;13;29;284;8;10.0;10.0;10.0;10.0;strict;1.0
99.0;5610456;95.0;3.0;la Dreta de l'Eixample;Eixample;Barcelona, Spain;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;4;50;4;1125;6;25;41;300;51;9.0;9.0;10.0;9.0;strict;2.0
40.0;51841337;100.0;1.0;Arapiles;Chamberí;Madrid, Spain;House;Private room;2;2.0;1.0;2.0;Real Bed;1;0;1;1125;15;42;72;347;10;10.0;10.0;10.0;10.0;flexible;1.0
120.0;77420214;100.0;11.0;Justicia;Centro;Madrid, Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;1;0;3;330;0;11;35;310;10;10.0;9.0;10.0;9.0;strict;11.0
30.0;50228547;100.0;1.0;Embajadores;Centro;Madrid, Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;1;0;1;7;14;44;74;74;4;10.0;9.0;10.0;10.0;flexible;1.0
51.0;21485458;98.0;46.0;Goya;Salamanca;Madrid, Spain;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;2;5;3;1125;7;37;67;342;0;;;;;moderate;44.0
50.0;46303283;100.0;1.0;Chopera;Arganzuela;Madrid, Spain;Apartment;Entire home/apt;6;1.0;2.0;4.0;Real Bed;2;12;2;1125;4;19;31;261;74;10.0;10.0;9.0;10.0;strict;1.0
18.0;49102155;100.0;1.0;Pueblo Nuevo;Ciudad Lineal;Madrid, Spain;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;1;0;3;31;28;58;88;88;4;10.0;9.0;9.0;10.0;flexible;1.0
444.0;6869715;;1.0;Frederiksberg;;Frederiksberg, Denmark;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;2;112;3;1125;0;0;0;0;9;10.0;9.0;9.0;10.0;strict;1.0
60.0;84468222;100.0;1.0;Almagro;Chamberí;Madrid, Spain;Apartment;Entire home/apt;4;1.0;1.0;3.0;Real Bed;3;15;1;1125;0;3;15;250;7;10.0;10.0;10.0;10.0;flexible;1.0
30.0;2903682;;1.0;Justicia;Centro;Madrid, Spain;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;2;10;2;31;29;59;89;364;0;;;;;flexible;1.0
75.0;4203067;100.0;1.0;Sol;Centro;Madrid, Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;2;0;2;1125;2;7;14;251;116;10.0;10.0;10.0;10.0;flexible;1.0
30.0;3508577;100.0;1.0;Valdefuentes;Hortaleza;Madrid, Spain;Bed & Breakfast;Private room;2;2.0;1.0;1.0;Real Bed;1;12;1;180;30;60;90;365;4;10.0;10.0;9.0;10.0;moderate;1.0
150.0;5542111;100.0;46.0;Universidad;Centro;Madrid, Spain;Apartment;Entire home/apt;12;2.0;6.0;9.0;Real Bed;8;0;3;1125;3;19;26;262;64;9.0;9.0;10.0;9.0;strict;46.0
20.0;15258781;100.0;114.0;Embajadores;Centro;Madrid, Spain;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;1;0;10;1125;0;6;36;311;0;;;;;strict;97.0
175.0;7576804;96.0;14.0;Goya;Salamanca;Madrid, Spain;Apartment;Entire home/apt;4;2.0;2.0;2.0;Real Bed;1;0;2;20;7;7;16;291;9;10.0;9.0;10.0;9.0;moderate;5.0
19.0;97914995;100.0;6.0;Palacio;Centro;Madrid, Spain;Hostel;Shared room;12;3.0;1.0;4.0;Real Bed;1;20;1;1125;20;48;77;167;0;;;;;moderate;6.0
49.0;3719521;97.0;15.0;Trafalgar;Chamberí;Madrid, Spain;Apartment;Entire home/apt;6;1.0;2.0;2.0;Real Bed;4;10;2;1125;25;55;85;360;22;7.0;8.0;9.0;8.0;strict;11.0
50.0;23031215;100.0;1.0;Bellas Vistas;Tetuán;Madrid, Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;1;0;2;1125;11;18;18;115;26;9.0;9.0;9.0;9.0;strict;1.0
76.0;34217435;99.0;13.0;Sol;Centro;Madrid, Spain;Other;Entire home/apt;6;2.0;2.0;2.0;Real Bed;2;25;1;60;4;8;18;220;41;10.0;10.0;10.0;10.0;strict;8.0
80.0;32148730;100.0;1.0;Jerónimos;Retiro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;0.0;2.0;Real Bed;2;20;3;1125;7;20;44;319;80;10.0;10.0;10.0;10.0;strict;1.0
39.0;65068845;;20.0;Embajadores;Centro;Madrid, Spain;Apartment;Private room;1;2.0;0.0;1.0;Real Bed;1;0;7;1125;0;6;36;61;0;;;;;strict;20.0
78.0;87501614;100.0;2.0;Pacífico;Retiro;Madrid, Spain;Apartment;Entire home/apt;6;2.0;2.0;2.0;Real Bed;4;10;1;1125;10;32;40;108;21;10.0;9.0;10.0;9.0;strict;2.0
